Stock P/E,ROE,Debt to Equity,Market Cap,Current Price,Volatility,Return 3M,Dividend Yield,EVEBITDA,Symbol,Industry,ROCE,Cluster,Label,Good_Pick
7.33,7.99,12.7,110424.0,96.1,0.355928973750413,0.69,1.56,17.3,PNB,Financial Services,5.41,1,Neutral,
19.2,15.4,0.18,9010.0,605.0,0.3811035296079245,0.35,1.65,12.9,QUESS,Services,13.9,0,Defensive Long,True
39.5,20.8,0.24,10278.0,909.0,0.3671121609891474,-30.5,0.66,23.0,RRKABEL,Capital Goods,21.7,2,Short,True
10.8,8.23,8.0,10548.0,174.0,0.4162419389320454,16.1,0.86,15.7,RBLBANK,Financial Services,6.23,1,Neutral,
6.84,22.2,6.64,105921.0,402.0,0.5046516535591324,-9.96,3.98,11.0,RECLTD,Financial Services,10.0,1,Neutral,
40.7,-16.9,0.03,9667.0,468.0,0.3666850892244251,-3.51,0.53,21.6,RHIM,Capital Goods,9.74,5,Neutral,
29.1,18.1,0.0,10729.0,223.0,0.4782746932173082,-13.4,5.15,14.1,RITES,Construction,23.9,5,Short,True
57.8,20.4,0.68,72204.0,346.0,0.6119193619797016,-3.25,0.61,32.3,RVNL,Construction,18.7,5,Neutral,
33.6,15.2,0.03,9381.0,292.0,0.540686015789687,-18.8,0.98,16.9,RAILTEL,Telecommunication,20.2,5,Short,True
37.0,16.3,0.39,13360.0,738.0,0.433577358109122,-19.6,0.27,17.3,RKFORGE,Automobile and Auto Components,18.7,2,Short,True
27.0,4.24,0.6,6891.0,125.0,0.5472174778313539,-20.1,0.99,9.36,RCF,Chemicals,6.19,5,Short,True
14.9,73.8,0.41,5647.0,40.8,0.4727016439549716,-25.6,0.0,12.5,RTNINDIA,Consumer Services,44.7,2,Neutral,
12.1,30.9,0.16,16846.0,215.0,0.424436043969907,5.23,2.88,9.45,REDINGTON,Services,28.9,5,Defensive Long,True
47.7,10.9,0.01,6145.0,975.0,0.3645140568748759,-24.1,1.13,30.6,ROUTE,Telecommunication,13.5,2,Short,True
30.0,10.5,1.49,9738.0,89.7,0.3637085980141171,7.87,0.0,16.6,SBFC,Financial Services,10.9,5,Neutral,
39.6,22.0,3.3,81056.0,852.0,0.2330863232293017,19.4,0.29,20.2,SBICARD,Financial Services,12.5,0,Neutral,
39.5,5.89,0.72,35930.0,91.4,0.4215939763207826,0.92,1.97,18.7,SJVN,Power,6.91,5,Neutral,
257.0,1.36,0.11,18664.0,39.9,0.5382596050137692,-18.8,0.0,37.1,SAGILITY,Information Technology,2.63,5,Short,True
147.0,9.9,0.86,13953.0,670.0,0.4581306175135649,-5.68,0.0,46.2,SAILIFE,Healthcare,11.5,2,Neutral,
9.66,5.8,2.02,8929.0,108.0,0.436697036697432,-23.8,1.86,7.89,SAMMAANCAP,Financial Services,9.79,5,Short,True
62.8,2.92,0.16,83190.0,118.0,0.3689318535311551,-15.4,0.68,38.4,MOTHERSON,Automobile and Auto Components,3.67,5,Short,True
612.0,4.3,0.92,9806.0,305.0,0.3449968883837904,-4.86,0.0,24.1,SAPPHIRE,Consumer Services,7.26,4,Neutral,
27.8,13.8,0.28,16479.0,468.0,0.4836584449293943,8.53,0.21,17.6,SARDAEN,Metals & Mining,18.0,5,Neutral,
48.3,14.5,0.0,10115.0,524.0,0.4994494017489695,0.39,0.86,28.7,SAREGAMA,Media Entertainment & Publication,20.0,5,Neutral,
69.9,126.0,1.29,14210.0,594.0,0.4712251278635692,-15.6,0.0,37.2,SCHNEIDER,Capital Goods,37.0,2,Short,True
8.57,8.49,0.32,8000.0,172.0,0.5620327914957458,-7.08,0.29,4.78,SCI,Services,7.43,5,Neutral,
14.3,15.6,3.99,120119.0,639.0,0.3686680967124398,22.6,1.41,10.8,SHRIRAMFIN,Financial Services,11.3,0,Neutral,
47.1,7.42,0.05,23555.0,844.0,0.404310146644096,10.2,0.53,25.5,SHYAMMETL,Capital Goods,10.3,0,Neutral,
46.8,20.1,0.03,26740.0,430.0,0.3438250385944619,-23.5,0.71,24.8,SONACOMS,Automobile and Auto Components,23.8,2,Short,True
35.8,57.0,0.04,8849.0,316.0,0.4730940320482018,-46.3,2.5,29.8,SONATSOFTW,Information Technology,57.6,2,Short,True
26.9,14.3,0.07,21178.0,360.0,0.2486709580135412,-22.3,0.0,20.3,STARHEALTH,Financial Services,17.7,0,Short,True
9.22,17.3,13.6,672782.0,754.0,0.2863140764488855,3.34,1.82,17.2,SBIN,Financial Services,6.05,3,Neutral,
16.8,6.14,0.76,44750.0,108.0,0.4494764167706991,8.24,1.85,7.23,SAIL,Metals & Mining,7.93,5,Neutral,
18.6,4.53,0.32,5857.0,251.0,0.5196910112523715,-40.0,0.0,13.1,SWSOLAR,Construction,10.4,5,Neutral,
55.0,15.3,0.01,28214.0,565.0,0.406027541935644,21.7,0.16,36.4,SUMICHEM,Chemicals,20.8,0,Neutral,
15.4,19.2,0.01,26014.0,660.0,0.3129874487233253,2.35,2.54,9.42,SUNTV,Media Entertainment & Publication,26.0,0,Defensive Long,True
183.0,3.01,0.18,71753.0,53.0,0.45244925270055,-2.66,0.0,89.4,SUZLON,Capital Goods,7.5,5,Neutral,
61.5,12.0,0.08,28250.0,702.0,0.2668655625164441,-14.7,0.18,28.9,SYNGENE,Healthcare,13.4,0,Short,True
168.0,1.45,0.37,8521.0,480.0,0.5605403609457852,-9.37,0.31,60.6,SYRMA,Capital Goods,3.01,5,Neutral,
33.2,26.2,0.43,6514.0,484.0,0.4129967861607806,-24.2,2.48,27.1,TANLA,Information Technology,26.3,2,Short,True
32.9,4.49,0.12,21202.0,832.0,0.3021592626510134,-12.4,1.8,19.9,TATACHEM,Chemicals,5.29,0,Short,True
34.5,19.5,0.44,219059.0,595.0,0.3192486372586893,-20.8,0.5,21.6,TATAMOTORS,Automobile and Auto Components,15.7,0,Short,True
32.6,14.7,1.22,116454.0,364.0,0.3283048513915317,7.21,0.55,18.6,TATAPOWER,Power,12.2,0,Neutral,
10.6,7.72,0.4,166555.0,133.0,0.3044591337558691,8.53,2.7,7.03,TATASTEEL,Metals & Mining,14.3,0,Neutral,
32.6,61.6,0.06,25640.0,632.0,0.2550944278484812,-20.5,1.33,24.8,TATATECH,Information Technology,69.2,2,Short,True
35.9,13.0,0.0,11490.0,988.0,0.5539873552063421,-23.8,0.71,26.8,TECHNOE,Construction,16.9,2,Short,True
22.0,2.64,0.78,14772.0,838.0,0.6032148514873289,-15.2,0.0,11.8,TEJASNET,Telecommunication,3.9,2,Short,True
25.9,4.23,0.0,25755.0,156.0,0.498897682436856,-10.2,1.32,12.8,NIACL,Financial Services,5.42,5,Short,True
116.0,5.63,0.73,22137.0,937.0,0.2693113189780987,6.25,0.27,19.8,RAMCOCEM,Construction Materials,8.17,0,Neutral,
32.6,18.6,0.21,10059.0,747.0,0.5430665206850042,-25.4,0.11,19.5,TITAGARH,Capital Goods,25.4,2,Short,True
88.3,21.2,0.21,16347.0,545.0,0.5532400777254572,2.38,0.02,51.9,TARIL,Capital Goods,25.9,5,Neutral,
44.4,8.54,0.37,13291.0,26.1,0.3260968930811236,-12.3,1.38,15.6,TRIDENT,Textiles,10.6,5,Short,True
35.7,14.1,0.14,8316.0,380.0,0.458256577692842,-2.06,0.92,17.4,TRIVENI,Fast Moving Consumer Goods,14.8,5,Neutral,
50.7,27.4,0.0,15760.0,496.0,0.5336374976369525,-26.6,0.52,35.5,TRITURBINE,Capital Goods,37.6,2,Short,True
15.6,6.22,10.8,36289.0,28.9,0.4503321456316317,-25.0,0.97,18.6,UCOBANK,Financial Services,5.34,1,Short,True
62.8,16.5,0.34,47320.0,824.0,0.4221377678224913,-20.4,0.24,34.9,UNOMINDA,Automobile and Auto Components,18.1,2,Short,True
71.8,16.6,0.36,52012.0,639.0,0.3017059842958745,19.7,0.16,113.0,UPL,Chemicals,12.6,0,Neutral,
18.8,17.1,0.0,12774.0,998.0,0.388416796208792,-15.7,2.4,13.4,UTIAMC,Financial Services,22.1,2,Neutral,
5.51,15.6,11.2,89947.0,118.0,0.4008772310487152,16.4,3.06,14.6,UNIONBANK,Financial Services,6.55,1,Neutral,
31.6,26.8,0.1,9328.0,306.0,0.4294368055723089,-10.5,0.9,21.1,USHAMART,Capital Goods,31.6,5,Short,True
60.4,13.8,0.11,15771.0,362.0,0.3161958058470415,-9.62,0.39,36.1,VGUARD,Consumer Durables,16.1,0,Neutral,
15.9,6.57,0.1,13334.0,461.0,0.4027245160423512,2.38,0.87,8.97,VTL,Textiles,8.1,0,Neutral,
77.7,20.1,0.05,184565.0,546.0,0.369998284198933,-5.05,0.18,44.6,VBL,Fast Moving Consumer Goods,23.8,0,Neutral,
48.4,26.8,0.3,19494.0,802.0,0.3540197057911743,-32.2,1.06,27.0,MANYAVAR,Consumer Services,30.8,2,Short,True
10.4,6.56,0.54,148653.0,380.0,0.3797509673733352,-8.11,11.4,6.95,VEDL,Metals & Mining,11.8,3,Neutral,
74.8,17.2,0.37,9909.0,965.0,0.5166841227272562,-19.8,0.1,38.6,VIJAYA,Healthcare,18.9,2,Short,True
151.0,5.88,0.0,48048.0,105.0,0.4598306744689927,0.37,0.0,82.4,VMM,Consumer Services,8.08,5,Neutral,
35.2,13.6,0.34,19965.0,758.0,0.4395167222673145,5.35,0.66,19.2,WELCORP,Capital Goods,14.8,0,Neutral,
21.7,16.3,0.59,12036.0,124.0,0.4241090661555869,-13.9,0.08,12.5,WELSPUNLIV,Textiles,17.1,5,Short,True
24.3,14.9,0.12,251069.0,240.0,0.2939267457431967,-17.8,2.5,15.8,WIPRO,Information Technology,19.7,3,Short,True
25.4,3.02,7.39,53772.0,17.2,0.3348345488366244,0.18,0.0,16.4,YESBANK,Financial Services,5.8,1,Neutral,
13.7,4.7,0.03,9975.0,104.0,0.4633831882072708,-12.9,0.96,7.89,ZEEL,Media Entertainment & Publication,7.65,5,Neutral,
25.6,19.0,0.03,14386.0,633.0,0.4284118541834898,-15.2,1.42,18.7,ZENSARTECH,Information Technology,24.2,2,Short,True
20.0,23.4,0.27,87427.0,869.0,0.2790333150166488,-10.9,0.35,14.4,ZYDUSLIFE,Healthcare,22.9,0,Neutral,
